id,title,plot
19,Meat Loaf: Bat Out of Hell,"The video intersperses shots of a motorcyclist riding through a graveyard, lit by a full moon, with shots of Meat Loaf and backing singers at microphones."
20,Aqua Teen Hunger Force,"The misadventures of a milkshake, an order of fries, a meatball, and their retired next door neighbor in the suburbs of New Jersey."
21,FernGully 2: The Magical Rescue,The fairies of FernGully must venture outside the rain forest to rescue several young animals who were captured by poachers.
22,Lady Chatterley,"The tale of Lady Connie Chatterley and her husband's gamekeeper, Oliver Mellors. Connie's husband is disabled and she is lonely, and she consequently finds herself attracted unaccountably to Mellors.::Winona Kent"
23,Zatoichi's Conspiracy,Zatoichi returns to his home village for the first time in over ten years to find much has changed and that corruption abounds.
24,Daydream Obsession,"Clayton has a problem with his roommate Brian... he's secretly in love with him! Blinded by passion, he can't tell the difference between his daydream fantasies and reality. Can he control his desire or will he cross the line?"
25,Love Reinvented,"A series of shorts commissioned for showing on Tv, but also distributed to theatres, about the AIDS crisis, homosexuality, and the reinvention of love in such conditions."
26,TerrorVision,"A family's new satellite TV system starts receiving signals from another planet, and soon it becomes the passageway to an alien world."
27,Silent Service,The crew of Japan's first nuclear submarine mutinies and deliberately creates an international incident with the United States.
28,The Spitfire Grill,"Oscar-winner Ellen Burstyn (The Exorcist) headlines this critically praised drama about a young woman, just out of prison, who finds spiritual redemption working at a cafe in Maine."
29,The Complete Truth About De-Evolution,"Devo, the seminal concept band, made a career out of setting to music video their dada-gone-camp theory of De-Evolution and its rebuke of corporate culture. This is a collection of Devo's output, an essential tour of the pre-to-post-punk scene."
30,The Weather Underground,"The remarkable story of The Weather Underground, radical activists of the 1970s, and of radical politics at its best and most disastrous."
31,The Bonesetter,"In the town of Munster, children are going missing. According to one mother, it is the doing of bonne homme sept heure . . . the Bonesetter. Its up to two librarians, a cop and a single mother to stop him! He's coming. At seven o'clock"
32,We're Not Married,"The neighbors are complaining. Jasper is a lover boy with too many wives, and a SWAT team has just been dispatched to handle this ""harem"", after all-they are illegal in America!"
33,Carandiru,"Film based on the real-life experiences of Dr. Drauzio Varella inside dreadful State penitentiary Carandiru, in São Paulo, Brazil, while he was doing a social work of AIDS prevention. There he found hundreds of convicts living under degrading conditions. The situation came to a climax in 1992, when in order to smother a rebellion, police force killed 111 men.::lukejoplin@infolink.com.br"
34,DragonHeart,"The last dragon and a disillusioned dragonslaying Knight must cooperate to stop an evil King, who was given partial immortality."
35,Sex and the Beauties,
36,The Libertine,"The story of John Wilmot, a.k.a. the Earl of Rochester, a 17th century poet who famously drank and debauched his way to an early grave, only to earn posthumous critical acclaim for his life's work."
37,Ricky Martin: One Night Only,Ricky Martin: One Night Only invites you on and offstage with one of Latin music's biggest superstars! This video features live versions of Livin La Vida Loca and La Copa De La Vida plus guest appearances from Carlos Santana and José Feliciano.
38,Barbarian Queen,"A sword-wielding warrior, Amethea, and a few companions embark on a life-or-death mission to liberate her people from the clutches of a brutal monarch who destroyed her village and enslaved her people."
39,Vampire Journals,"Avenging vampire stalks a king of the vampires in Eastern Europe, slaughters anyone who gets in his way."
40,Invader ZIM,"Stand back, ignorant Earth filth. Invader Zim has been sent from the planet IRK on a mission of doom. Disguised as a child and accompanied by GIR, his robot, Zim has come to assume control of Earth. But, a wrench named Dib interferes with his plan.::Hulu"
41,WWE Armageddon,CM Punk vs Mysterio. Batista vs Randy Orton. WWE title match: Cena vs Y2J. Triple threat world title match: HHH vs Edge vs Jeff Hardy.
42,Maya Lin: A Strong Clear Vision,A film about the work of the artist most famous for her monuments such as the Vietnam Memorial Wall and the Civil Rights Fountain Memorial.
43,"At Home Among Strangers, a Stranger Among His Own",Set during the Civil War between the Reds and the Whites that followed the 1917 revolution in Russia
44,6ixtynin9,"A woman, fired from a financial coorporation during the Asia crisis, returns home with no money. However, she finds a box with a fortune in front of her door, and decides to keep it. However, the people that left it there soon want it back.::Maarten Hofman <maarten_hofman@hotmail.com>"
45,Antarctica: Ice and Sky,A documentary about global warming.
46,Elfen Lied,"Two university students come across a seemingly harmless girl named Lucy, unaware that she's actually a mutant serial killer with a split personality."
47,Iron Monkey 2,Donnie Yen fights a deadly assassin named Tiger Yu and teaming a band of insurrectionists battling a malevolent gang of weapons smugglers.
48,Record of Lodoss War: Chronicles of the Heroic Knight,"Record of Lodoss War, is, simply the best anime series I've ever seen. Sure, it's old school, and some of the scenes and characters reflect that fact, but the story line and characters make up for any shortcomings one may feel exist. Set in a world torn apart by the greed and jealousy of the gods and goddesses, Lodoss, The Accursed island, is inhabited by elves, trolls, monsters, Humans, and dragons, most working together towards and common goal: saving their world. The good guys, well, are good, and the bad guys: superb. Without spoiling the story for you, I'll just say that Lodoss Wat is A love story that is much more than a love story, an epic story with epic heros, and a real true pleasure to watch,::iMakeBoisCry"
49,WWE Royal Rumble 2017,
50,ECW Cyberslam '99,
51,The Returned,"The lives of the people of Arcadia, Missouri, are forever changed when their deceased loved ones return."
52,G3 Live in Concert,"Guitar legends Joe Satriani, Eric Johnson, and Steve Vai perform individual set lists as well as a super-band jam session of cover songs by their influences."
53,Dona Herlinda and Her Son,"Rodolfo ( Marco Treviño ) is a young bachelor doctor who has a love affair with a younger music student, Ramon ( Arturo Meza ). When Rodolfo's mother begins to urge his son to get married, he quickly asks modern and open-mind Olga ( Letícia Lupercio ) to become his wife. Ramon is heart-broken, but Dona Herlinda ( Guadalupe Del Toro ) has the final solution to make everybody happy: She asks Ramon to live with her, near by Rodolfo and Olga. Everybody together forever.::Maximiliano Maza <mmaza@campus.mty.itesm.mx>"
54,Inside the Space Station,
55,No Reservations,The life of a top chef changes when she becomes the guardian of her young niece.
56,A Fishy Story,"In politically charged 1967 Hong Kong, an ambitious actress and an unlicensed taxi driver living in the same apartment building build a relationship that is constantly impacted by their individual goals and the heated times."
57,White Lotus Cult,"Iron Bridge San and Kuang battle the Evil White Lotus Cult until Kuang joins them out of fear, leaving San to fight alone. San must take vengeance on the cult for all the people it has killed and the damage it has done to society. With help from his new master San must face his toughest challenge, the bone crushing cult leader - Chan in a final show down!::Flaming Dragon"
58,Notre musique,"An indictment of modern times divided into three ""kingdoms"": ""Enfer"" (""Hell""), ""Purgatoire"" (""Purgatory"") and ""Paradis"" (""Paradise"")."
59,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,
60,L'oeil de Vichy,"This movie is only made of archive pictures: the official newsreels that were broadcasted on French movie screens during 1940 and 1944 (the Occupation). Those newsreels were controlled by the government of Vichy, which collaborated with the Nazis, so most of them are propaganda. Their purpose is to show what the disinformation was then, and perhaps more generally to evoke the problem of the power of the mass media.::Yepok"
61,Bruce Lee: A Warrior's Journey,A documentary showing the life of Bruce Lee up-close.
62,Dominion Tank Police,"In a dystopic pollution ridden future, the tank police fight for law and order and cause massive collateral destruction along the way."
63,Murder Must Advertise,"When one of the copy writers of Pym's Advertising Agency meets his death by falling down a spiral staircase, a new ""writer"" joins the staff to investigate the matter.::Kathy Li"
64,Bear Cub,"Pedro, a gay man with an active social life and many friends, takes in his nephew Bernardo for a couple weeks. When the arrangement becomes permanent , Pedro turns to his friends for guidance as he and Bernardo forge a household together."
65,Travel the World by Train: Africa,
66,Briar Patch,A woman becomes immersed in a brutal love triangle when an unwelcomed admirer kills her abusive husband even though she's already having an affair.
67,Beyoncé: Live at Wembley,"Live at Wembley is a full concert-performance shot in London during BeyoncÃ©'s first solo international tour Dangerously In Love. As one of the biggest female entertainers in the world, BeyoncÃ© dazzles the audience with her #1 hits."
68,Cube²: Hypercube,"Eight strangers awaken with no memory, in a puzzling cube-shaped room where the laws of physics do not always apply."
69,Coldblooded,A bookie is promoted to Hitman and seemingly excels at his new found job.
70,Mr. Vampire,"The planned reburial of a town elder goes awry as the corpse resurrects into a hopping, bloodthirsty vampire, targeting everyone responsible for digging the grave. A Taoist Priest and his two disciples attempt to stop the terror."
71,DarkWolf,"An LAPD cop, whose partner was murdered by a werewolf, must protect a woman called Josie, who's a hybrid, after he realizes that the werewolf wants to mate with her."
72,Arachnid,A scientific expedition investigating the outbreak of an unknown viral epidemic on an island in the south Pacific battles with a giant alien spider in the jungle.
73,Beyond Terror: Lucio Fulci,
74,GTO: Great Teacher Onizuka,"About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever."
75,The Cat and the Canary,"When an eccentric family meets in their uncle's remote, decaying mansion on the tenth anniversary of his death for the reading of his will, murder and madness follow."
76,Star Trek Voyager: Phage - ECMO Won't be the Hot Cleanse of the Season,"Johnny and Jackson discuss Star Trek: Voyager S01E05: ""Phage,"" wherein Neelix's lungs are removed and he needs holographic replacements."
77,Goddess of Mercy,"The film has been made after a popular novel that is devoted to the everyday work of a drug police team. The protagonist is a courageous police woman whose relations with three men in her life make up the plot of the film. She is always faced with a difficult choice between sentiments and duty, law and her own understanding of what is just and fair.::Mark Gubarenko"
78,The Tricky Master,Major swindler Ferrari specializes in swindling the rich. Serious Crime Unit inspector Chan Foon is ordered to infiltrate Ferrari's organization but is uncovered by him. Chan decides to con a conman and becomes a student of Wong Fu Si. Thus begins the swindle of the century.::L.H. Wong <lhw@sfs.org.sg>
79,Get Out Your Handkerchiefs,"A worried husband finds a lover for his depressed wife, but she falls in love with a bullied thirteen-year-old math prodigy and wants to have the boy's baby."
80,Sleepover Nightmare,"College girl Shannon is having a summertime party at her woodlands cottage with her many friends. But little do the lusty, beer-swilling party-goers know that an escaped murderous mental patient, is lurking in the woods around the cottage."
81,Demon Warrior,"A group of young friends go hunting during their holidays near a small town in Texas, where the father of one of them own a piece of land. But the place has a legend. Years ago the grandfather stole the land from the Indians and they cursed the family. The curse is effective once every 10 years. 20 years ago the grandfather was killed, 10 years ago an uncle disappeared, and now...::Michel Rudoy <mdrc@hp9000a1.uam.mx>"
82,White Knuckle Extreme: Higher Ground,"Higher Ground takes on the competitive, risky world of motocross hill climbing."
83,Gentlemen of Fortune,It so happens that peaceful kindergarten teacher is incredibly similar to the terrible villain who stole the helmet of Alexander the Great. And villain's accomplices are unexpectedly similar to children - they also need love and care.
84,Gormenghast,A villain threatens the rise of a new earl in an ancient kingdom.
85,How to Irritate People,"In this mock-documentary, John Cleese narrates a series of sketches on irritation -- types and techniques. Included are parents irritating their children, old ladies irritating movie-goers in a theater, an overly subservient waiter, a car repairman denying obvious car trouble, a party guest hinting for a ride, airplane pilots playing practical jokes on their passengers, and a talk show host who doesn't stop talking.::Samuel Stoddard <ss1@christa.unh.edu>"
86,One Last Dance,"In the wake of tragedy, a renowned NY dance company is on the brink of collapse. After leaving the dance world for good, Travis, Chrissa and Max have one last chance to re-connect with the passion and prove that miracles really can happen."
87,Richard Pryor: Live on the Sunset Strip,Richard Pryor performs his stand-up comedy act on the Sunset Strip.
88,The Chorus,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.
89,Regular Guys,"Christoph, cop and self-confident macho, has trouble with his fiance. After a long night he wakes up in the arms of Edgar, a good-looking, gay auto-mechanic. His live gets more and more troublesome after his girl friend throws him out of their apartment and as last resort he moves to Edgars place. Working together with a new, good-looking, very self-confident, female collegue, but living with a good-looking gay guy makes him pretty uncertain about his sexuality and his role as a cop.::Konstantin Articus <KArticus@aol.com>"
90,Bollywood Bound,"This feature length documentary tells the story of four Indo Canadians; Vikram Dhillon, Vekeana Dhillon, Ruby Bhatia and Neeru Bajwa, who head to Mumbai to find fame and fortune in the Bollywood film industry."
91,Scratch,"The story of the hip-hop DJ from the birth of hip-hop to the invention of scratching and ""beat-juggling"" vinyl, to the more recent ""turntablism"" movement. Underdogs and virtuosos who have radically changed the way we hear and create music."
92,Moby: Play - The DVD,"Play - The DVD has eight live tracks recorded on Jools Holland's TV show in England and 10 videos of songs from Moby's album, Play. Five of the videos have never been released in America: ""Find My Baby"", ""Porcelain UK"", ""Bodyrock UK (Fire)"", ""Why Does My Heart Feel So Bad?"", and ""Natural Blues (Animated)."" A 90-minute megamix, accompanied by psychedelic visuals, showcases the Play remixes used for singles. An interactive function allows fans to remix Moby's songs themselves. Also features a 20-minute home movie, ""Give an Idiot a Camcorder"", in which Moby captures behind-the-scenes footage while touring the world to promote Play.::Miguel E. Rodriguez <mig28lx@aol.com>"
93,X2: X-Men United,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him."
94,The SoulTaker,"Kyosuke Date is stabbed by his mother and left for dead. He is buried alive, but is soon dug up by a mysterious girl. He searches for answers about why he was stabbed, looks for a long lost sister, and tries to find answers to why he transforms into a Soul Taker.::grossly"
95,Marilyn Manson: Fear of a Satanic Planet,"Marilyn Manson: Fear of a Satanic Planet tells the full story of a legend, revealing how a boy named Brian from small town Ohio broke the mold for Alternative Metal and managed to gain worldwide critical acclaim in the process."
96,Chasing Freedom,A lawyer reluctantly takes on the pro bono asylum case of a woman who has fled the brutal Taliban regime in Afghanistan and arrived in the United States seeking freedom.
97,Stepping Razor: Red X,"Peter Tosh From Wikipedia, the free encyclopedia Peter Tosh, OM (born Winston Hubert McIntosh; 19 October 1944 - 11 September 1987) was a Jamaican reggae musician. Along with Bob Marley, Bunny Wailer and friend Neville Bardoli he was one of the core members of the band The Wailers (1963-1974), after which he established himself as a successful solo artist and a promoter of Rastafari. He was murdered in 1987 during a home invasion.::Neville C Bardoli"
98,Gupt,
99,Ruby's Bucket of Blood,A Louisiana juke joint owner loses her star entertainer and hires a white singer to fill in.
100,Sports Illustrated Swimsuit Issue,"Sports Illustrated swimsuit issue; school shooting in Colorado; author Chris Kattan (memoir, ""Baby, Don't Hurt Me""); Britney Spears;"
101,Venus Boyz,"A film journey through a universe of female masculinity. A legendary Drag King Night in New York is the point of departure for an odyssey to transgendered worlds, where women become men - some for a night, others for their whole lives. What motivates them? What changes take place? What do they dream of? The drag kings of New York meet in clubs and change lustfully into their male alter egos, parodying them and exploring male eroticism and power strategies. In London we see women experiment with hormones to become new men and 'cyborgs'. Masculinity and transformation as performance, subversion or existential necessity.::Anonymous"
102,Bonus Material,A director is killed by a giant worm while filming bonus material for his DVD.
103,Unconstitutional,A documentary that investigates the ways in which the civil liberties of American citizens and immigrants have been rolled back since the September 11 and the Patriot Act.
104,Denise Austin's Ultimate Fat Burner,
105,Sing a Song of Six Pants,"The stooges are tailors, and are heavily in debt to the Skin & Flint finance company. When the boys read about the big reward for a fugitive robber, they think it could be the answer to their problems. The bank robber conveniently ducks into their shop and leaves a suit with a safe combination. After his girl friend fails to retrieve it, the robber returns with gang and a wild fight ensues. The boys miss out on the reward but wind up with the crook's bankroll and can pay their creditors.::Mitch Shapiro <mshapiro@a.crl.com>"
106,Star Trek: Deep Space Nine,"In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy."
107,The Yinyang Master,"Qing Ming, the Yin-Yang Master, took his master's last wish and went to the Captial Tiandu City to attend the heaven ceremony."
108,The Agronomist,"The true story of Jean Dominique, a Haitian radio journalist and human rights activist."
109,Querelle,"A handsome sailor is drawn into a vortex of sibling rivalry, murder, and explosive sexuality."
110,Beauty and the Beast DVD Read-Along,
111,The Neon Bible,"While on a train, a teenage boy thinks about his life and the flamboyant aunt whose friendship acted as an emotional shield from his troubled family. This film evokes the haunting quality of memory while creating a heartfelt portrait of a boy's life in a rural 1940s Southern town.::Ivana Redwine <credwine@ix.netcom.com>"
112,Winston Churchill: The Wilderness Years,"The story of Winston Churchill's life between 1929, when he lost his cabinet position, and 1939, when he joined Great Britain's War Cabinet - a period he described as the most difficult in his life."
113,Space Odyssey: Voyage to the Planets,"This two-part science fiction docu-drama examines the possibilities of a dangerous, manned space mission to explore the inner and outer planets of the Solar system."
114,The Fabulous Making of Chappelle's Show Season 3ish,
115,Blood Will Out,"The murder of a village blow-hard, who had few supporters among his neighbors, happens while a gathering of travelers is taking place."
116,"Henry: Portrait of a Serial Killer, Part 2","Henry II picks up where the original (Henry: Portrait of a Serial Killer) left off. Henry (Neil Giuntoli) takes a thankless job at a port-o-john company where he meets husband and wife, Kai (Ken Komenich) and Cricket (Kate Walsh). They take pity on the homeless drifter and offer him a room in the home they share with their emotionally fragile teenage niece, Louisa (Carri Levinson). Henry learns that Kai has a side job as an arsonist-for-hire, setting up phony insurance scams to make money for their boss, Rooter (Daniel Allar). He agrees to join Kai and on one of their first outings, they discover two squatters in a building that's been marked for fire. It is then that Henry introduces Kai to his life's work... and the murders begin. Kai has never killed before, but he turns into a willing accomplice. Initially, the two men work well together. But as the killing sprees increase in their depravity, it's more than Kai can handle. He wants out, but he's in too deep.::Anonymous"
117,Carol Burnett: Show Stoppers,"The cast of the CBS variety show, ""The Carol Burnett Show,"" gets together and revisits some of their favorite moments throughout the course of the show."
118,Peter Gabriel: Growing Up Live,"Concert film documenting Peter Gabriel's ""Growing Up"" tour stop at Milan's FilaForum in May 2003."
119,Suddenly Psychic,"LA Police find the burned truck of a carjacking victim but they fail to find her body. A soon-to-be psychic gets her first vision, which leads police to a corpse. Police fail to believe her story, and detectives make the psychic their number-one suspect."
120,Marooned in Iraq,"During the war between Iran and Iraq, a group of Iranian Kurd musicians set off on an almost impossible mission. They will try to find Hanareh, a singer with a magic voice who crossed the border and may now be in danger in the Iraqi Kurdistan. As in his previous films, this Kurdish director is again focusing on the oppression of his people.::up and out"
121,Sci-Fi Special Feature,"While this podcast is more about the cartoons, we seem to find ourselves quite a lot in the galaxy far, far away where no man has gone before."
122,Broken Blossoms,"A frail waif, abused by her brutal boxer father in London's seedy Limehouse District, is befriended by a sensitive Chinese immigrant with tragic consequences."
123,The Song Remains the Same,The line forms here for the world's greatest and possibly most influential band--Led Zeppelin. This mesmerizing movie built around Zep's famed 1973 concerts at New York's Madison Square Garden is convincing proof why.
124,Winnie the Pooh: Springtime with Roo,"Roo is upset when Rabbit cancels Easter and declares ""Spring Cleaning Day"" instead."
125,Neon Genesis Evangelion: The End of Evangelion,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).
126,Stellvia,
127,Strangler's Wood,"The nude body of a Brazilian woman is found strangled in the woods, which suggests that a serial killer from nine years before has begun killing again."
128,The Hunchback of Notre Dame 2: The Secret of the Bell,Quasimodo goes into action when a magician seeks to steal one of the bells of Notre Dame.
129,Mann - Soul's Heart,"A young woman falls in love with a handsome playboy, while aboard a Singapore to India cruise. They make plans to meet again, but fate may have other plans..."
130,Marat/Sade,"In an insane asylum, Marquis de Sade directs Jean Paul Marat's last days through a theater play. The actors are the patients."
131,Angelina Ballerina,"The adventures and ballet recitals of Angelina Mouseling (Finty Williams) in tow with her friends, Alice Nimbletoes (Jo Wyatt), William Longtail (Keith Wickham), Miss Lilly (Dame Judi Dench), and the menacing pair Priscilla Pinkpaws (Jo Wyatt) and Penelope Pinkpaws (Jonell Elliott)."
132,Saudade do futuro,"Dreaming of a better life, migrants from the Northeast of Brazil speak about the city of São Paulo, and sing it in prose, songs, stories and multiple sounds."
133,Saludos Amigos,Disney animators tour South America and present four animated shorts inspired by their trip.
134,Female Yakuza Tale,"Ocho gets abducted by a yakuza clan that uses a gang of women to smuggle drugs in their vaginas. Finding out that the kingpin had killed the last boss and abducted his daughter, Ocho joins forces with the drug mules against the clan."
135,Cold Harvest,A bounty hunter protects his dead brother's wife in a lawless world after a comet has devastated much of earth.
136,100 Days Before the Command,"Five young Soviet Army recruits struggle for survival against the merciless violence that surrounds them on a daily basis. Their only means of saving their dignity is by preserving the humanity and compassion they share for each other. Visually astonishing, erotically charged and emotionally jarring, this film is Hussein Erkenov's courageous and stinging indictment of Communisum. Banned by the Soviet censors upon its initial release the film had to be smuggled out of the country to make its world wide premier at the 1995 Berlin Film Festival.::Mike Stimler"
137,Micki + Maude,"A bigamist must keep his wives from meeting each other, which becomes tricky when they're both pregnant."
138,Sarah Brightman in Concert,Singer Sarah Brightman's first recorded concert. Featuring many hit songs and cameos by Andrew Lloyd Webber and Andrea Bocelli.
139,The Legend,"This Hong Kong martial-arts extravaganza tells of evil emperors and true love. The secret Red Lotus Flower Society is committed to the overthrow of the evil Manchu Emperor and his minions. One of his Governors is sent on a mission to retrieve a list of members of that secret society. Meanwhile, Canton kung fu practitioner Fong Sai-Yuk falls in love with the beautiful daughter of a rich merchant, recently moved to Canton. Her father, in an attempt to gain influence in the region and thus improve his business, offers his daughter in marriage to the winner of a kung-fu contest. Some interesting gender role-reversals take place during a 'comedy of errors.'::Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>"
140,Blue Seed Beyond,"In this Anime sequel to Blue Seed, in San Francisco, a scientist has found out how to make a new creature without Susanoo's help. But now they are destroying California. The Terrestrial Administration Center now has to help."
141,If These Walls Could Talk,"The movie examines the abortion issue through three stories set in different eras: 1952, 1974 and 1996."
142,Sasquatch Hunters,"Bigfoot. Sasquatch. The legend has fascinated the world for generations. But when a small group of explorers set out deep into the forest in search of fossils, nothing can prepare them for what they'll find. And nothing can protect them."
143,Thunderbirds Are Go,"In the future, the Tracy family run a private mechanized emergency response service."
144,Luther Vandross: Always and Forever,"Recorded on his 1994-1995 world tour, Always And Forever: An Evening Of Songs At Royal Albert Hall features the legendary Luther Vandross at his most smooth and sensuous, featuring his greatest hits and favorites from his covers album Songs."
145,Saturday Night Live: The Best of Chris Kattan,"Watch as Chris Kattan uses chameleon-like abilities to transform into such characters as Mango, Antonio Banderas, Mr. Peepers, Suel Forrester, and one of the Roxbury boys, to name a few."
146,"Harold and Kumar Go to White Castle: ""I didn't get pimped in my med school interviews""","Jackson and Johnny discuss the medical moments in Harold and Kumar Go to White Castle. In reality, it's very unlikely that your surgeon's brother will perform your operation, even if he is interviewing at prestigious med schools."
147,Hell Mountain,"In an apocalyptical future, the world is completely destroyed and ruled by the tyrannical Stryker. He controls the unique source of food and uses young women as slaves to explore the mines in the Hell Mountain. When he abducts Shira, her lover Kal meets with the last professor on earth, Garrett, who helps him to rescue Shira.::Claudio Carvalho, Rio de Janeiro, Brazil"
148,Saturday Night Live: The Best of Gilda Radner,A compilation of Gilda Radner's funniest skits and most memorable characters from the first five years of Saturday Night Live.
149,Lennon Legend: The Very Best of John Lennon,"The DVD featured never-before-seen footage from the Lennon/Ono archive, rare newsreel and private footage, 15 new and newly remastered music videos, 5.1 surround sound, new animations of Lennon's drawings and an extensive photo gallery."
150,Oasis,A Scottish chaplain embarks on an epic journey through space.
151,In His Life: The John Lennon Story,A film about the early life of the rock musician and his burgeoning career as a member of the Beatles.
152,Option Zero,"A group of Cuban migrants has its plans to change destiny frustrated. Stranded in Panama City, images of the Cuban Revolution and of the difficult passage through the Darien Jungle come to life on their cell phones."
153,Hard Ground,"Billy Bucklin escapes while being transported to Yuma prison and plans to form an army of desperadoes to control the Mexican border. To finance his band, he robs a stagecoach, kidnaps a beautiful woman to be sold into prostitution, and steals an army payroll wagon. An aging lawman persuades the governor to parole his brother-in-law, now serving a 20-year prison term for murder, to assist him and his green deputy to destroy the marauders.::David Bassler"
154,The Isle,"Working at a fishing resort in an idyllic location, but surrounded by various facets of human unpleasantness, a young mute woman falls in love with a man on the run from the law for committing murder."
155,Dangerous Liaisons,A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman.
156,Sesame Street: Sing Yourself Silly!,"Big Bird and his pals are making musical mayhem as they sing the goofiest, nuttiest, silliest songs ever. Join in with Sesame Street favorites Oscar, Ernie, the Count, and more as they tickle your funny bone."
157,Godsmack: Smack This!,A live concert DVD recorded over a period of 5 years.
158,The Legend of the 7 Golden Vampires,"While lecturing in China, Van Helsing agrees to help seven kung fu trained siblings reclaim their ancestral mountain village, now the domain of seven powerful vampires and their army of undead slaves."
159,Leila,"In a near-future world where an oppressive regime segregates society, one woman skirts the system to search for the daughter taken from her years ago."
160,Saturday Night Live: The Best of Jon Lovitz,
